Date,Swedish Krona
2022-08-08,10.3650
2022-08-05,10.3573
2022-08-04,10.3740
2022-08-03,10.3913
2022-08-02,10.3995
2022-08-01,10.3668
2022-07-29,10.3875
2022-07-28,10.4490
2022-07-27,10.4545
2022-07-26,10.4445
2022-07-25,10.3973
2022-07-22,10.4328
2022-07-21,10.4260
2022-07-20,10.4606
2022-07-19,10.4964
2022-07-18,10.5265
2022-07-15,10.5943
2022-07-14,10.6019
2022-07-13,10.6020
2022-07-12,10.6290
2022-07-11,10.6943
2022-07-08,10.6665
2022-07-07,10.7230
2022-07-06,10.7450
2022-07-05,10.8031
2022-07-04,10.7658
2022-07-01,10.7783
2022-06-30,10.7300
2022-06-29,10.6848
2022-06-28,10.6543
2022-06-27,10.6713
2022-06-24,10.6940
2022-06-23,10.7050
2022-06-22,10.6688
2022-06-21,10.6460
2022-06-20,10.6375
2022-06-17,10.6748
2022-06-16,10.6942
2022-06-15,10.6278
2022-06-14,10.6220
2022-06-13,10.6160
2022-06-10,10.5255
2022-06-09,10.5045
2022-06-08,10.4938
2022-06-07,10.5039
2022-06-06,10.4520
2022-06-03,10.4589
2022-06-02,10.4705
2022-06-01,10.4758
2022-05-31,10.5053
2022-05-30,10.5180
2022-05-27,10.5293
2022-05-26,10.5983
2022-05-25,10.5419
2022-05-24,10.5013
2022-05-23,10.4918
2022-05-20,10.4915
2022-05-19,10.5098
2022-05-18,10.4675
2022-05-17,10.4393
2022-05-16,10.4978
2022-05-13,10.4905
2022-05-12,10.5648
2022-05-11,10.5260
2022-05-10,10.6075
2022-05-09,10.5818
2022-05-06,10.4686
2022-05-05,10.3748
2022-05-04,10.3968
2022-05-03,10.3978
2022-05-02,10.4035
2022-04-29,10.2958
2022-04-28,10.3594
2022-04-27,10.4035
2022-04-26,10.3935
2022-04-25,10.3476
2022-04-22,10.2780
2022-04-21,10.2553
2022-04-20,10.2300
2022-04-19,10.3408
2022-04-14,10.3008
2022-04-13,10.3323
2022-04-12,10.3320
2022-04-11,10.3128
2022-04-08,10.2768
2022-04-07,10.3130
2022-04-06,10.2855
2022-04-05,10.2593
2022-04-04,10.3849
2022-04-01,10.3320
2022-03-31,10.3370
2022-03-30,10.3498
2022-03-29,10.3290
2022-03-28,10.4225
2022-03-25,10.3505
2022-03-24,10.3555
2022-03-23,10.4005
2022-03-22,10.3822
2022-03-21,10.4088
2022-03-18,10.4303
2022-03-17,10.4503
2022-03-16,10.4205
2022-03-15,10.5260
2022-03-14,10.5368
2022-03-11,10.6460
2022-03-10,10.7073
2022-03-09,10.7340
2022-03-08,10.8803
2022-03-07,10.8573
2022-03-04,10.7935
2022-03-03,10.7688
2022-03-02,10.7880
2022-03-01,10.6893
2022-02-28,10.6055
2022-02-25,10.5848
2022-02-24,10.7338
2022-02-23,10.5658
2022-02-22,10.5996
2022-02-21,10.6535
2022-02-18,10.5796
2022-02-17,10.5930
2022-02-16,10.5363
2022-02-15,10.5739
2022-02-14,10.6158
2022-02-11,10.5530
2022-02-10,10.5275
2022-02-09,10.4075
2022-02-08,10.4433
2022-02-07,10.4483
2022-02-04,10.4465
2022-02-03,10.3870
2022-02-02,10.3850
2022-02-01,10.4438
2022-01-31,10.4890
2022-01-28,10.5520
2022-01-27,10.4450
2022-01-26,10.4493
2022-01-25,10.5020
2022-01-24,10.5038
2022-01-21,10.4140
2022-01-20,10.3708
2022-01-19,10.3428
2022-01-18,10.3185
2022-01-17,10.3050
2022-01-14,10.2684
2022-01-13,10.2380
2022-01-12,10.2640
2022-01-11,10.3075
2022-01-10,10.3038
2022-01-07,10.2839
2022-01-06,10.3265
2022-01-05,10.2545
2022-01-04,10.2808
2022-01-03,10.2958
2021-12-31,10.2503
2021-12-30,10.2438
2021-12-29,10.2608
2021-12-28,10.2528
2021-12-27,10.3250
2021-12-24,10.3300
2021-12-23,10.3035
2021-12-22,10.2906
2021-12-21,10.3315
2021-12-20,10.3010
2021-12-17,10.2753
2021-12-16,10.2465
2021-12-15,10.2565
2021-12-14,10.2810
2021-12-13,10.2310
2021-12-10,10.2463
2021-12-09,10.2570
2021-12-08,10.2513
2021-12-07,10.2573
2021-12-06,10.2688
2021-12-03,10.3185
2021-12-02,10.2658
2021-12-01,10.2260
2021-11-30,10.2860
2021-11-29,10.2903
2021-11-26,10.2600
2021-11-25,10.1760
2021-11-24,10.1905
2021-11-23,10.1330
2021-11-22,10.1280
2021-11-19,10.0960
2021-11-18,10.0555
2021-11-17,10.0303
2021-11-16,10.0293
2021-11-15,10.0070
2021-11-12,10.0085
2021-11-11,9.9648
2021-11-10,9.9645
2021-11-09,9.8995
2021-11-08,9.9588
2021-11-05,9.9033
2021-11-04,9.9060
2021-11-03,9.9120
2021-11-02,9.8973
2021-11-01,9.9135
2021-10-29,9.9368
2021-10-28,9.9690
2021-10-27,9.9713
2021-10-26,9.9848
2021-10-25,10.0000
2021-10-22,9.9748
2021-10-21,10.0145
2021-10-20,10.0150
2021-10-19,10.0300
